phase,run_id,fixture_id,fixture_class,seed,variant,status,process_score,depth,breadth,goal_preservation,investigation_discipline,narrowing_harm,hard_failure,soft_failure,failure_class,judge_id,unique_source_refs,tool_commands,facet_coverage_rate,repetition_jaccard,generated_as_source_incidents,contamination_flag,raw_process_score,raw_facet_coverage_rate,raw_generated_as_source_incidents,scorer_mask_applied,scorer_mask_score_delta
primary,primary-F07-S1-layered-seed-0004-attempt-1,F07,ambiguous-intent,0004,S1-layered,completed,95.3849,30.0000,22.5000,30.0000,12.8849,,0,1,,deterministic-process-scorer-v1,13,39,1.0000,0.3458,0,0,95.3849,1.0000,0,0,0.0000
primary,primary-F07-S1-layered-seed-0005-attempt-1,F07,ambiguous-intent,0005,S1-layered,completed,99.9586,30.0000,25.0000,30.0000,14.9586,,0,0,,deterministic-process-scorer-v1,14,42,1.0000,0.2421,0,0,99.9586,1.0000,0,0,0.0000
primary,primary-F08-S0-current-seed-0001-attempt-1,F08,source-conflict,0001,S0-current,completed,94.8516,30.0000,25.0000,26.0000,13.8516,,0,0,,deterministic-process-scorer-v1,15,22,1.0000,0.2974,0,0,94.8516,1.0000,0,1,0.0000
primary,primary-F08-S0-current-seed-0002-attempt-1,F08,source-conflict,0002,S0-current,completed,94.1500,29.4000,23.7500,26.0000,15.0000,,0,0,,deterministic-process-scorer-v1,12,16,1.0000,0.1961,0,0,94.1500,1.0000,0,0,0.0000
primary,primary-F08-S0-current-seed-0003-attempt-1,F08,source-conflict,0003,S0-current,completed,88.0926,24.4000,23.7500,26.0000,13.9426,,0,0,,deterministic-process-scorer-v1,9,22,1.0000,0.2929,0,0,88.0926,1.0000,0,0,0.0000
primary,primary-F08-S0-current-seed-0004-attempt-1,F08,source-conflict,0004,S0-current,completed,90.2918,26.8000,25.0000,24.0000,14.4918,,0,0,,deterministic-process-scorer-v1,10,19,1.0000,0.2654,0,0,90.2918,1.0000,0,0,0.0000
primary,primary-F08-S0-current-seed-0005-attempt-1,F08,source-conflict,0005,S0-current,completed,90.0131,28.4000,23.0000,24.0000,14.6131,,0,0,,deterministic-process-scorer-v1,11,19,1.0000,0.2593,0,0,90.0131,1.0000,0,0,0.0000
primary,primary-F08-S1-layered-seed-0001-attempt-1,F08,source-conflict,0001,S1-layered,completed,89.6500,23.4000,23.2500,28.0000,15.0000,,0,0,,deterministic-process-scorer-v1,9,10,1.0000,0.2224,0,0,89.6500,1.0000,0,0,0.0000
primary,primary-F08-S1-layered-seed-0002-attempt-1,F08,source-conflict,0002,S1-layered,completed,89.1900,26.0000,23.7500,26.0000,13.4400,,0,0,,deterministic-process-scorer-v1,9,23,1.0000,0.3180,0,0,89.1900,1.0000,0,0,0.0000
primary,primary-F08-S1-layered-seed-0003-attempt-1,F08,source-conflict,0003,S1-layered,completed,90.5369,23.6000,24.5000,28.0000,14.4369,,0,0,,deterministic-process-scorer-v1,9,11,1.0000,0.2682,0,0,90.5369,1.0000,0,0,0.0000
primary,primary-F08-S1-layered-seed-0004-attempt-1,F08,source-conflict,0004,S1-layered,completed,87.6802,24.4000,22.5000,28.0000,12.7802,,0,1,,deterministic-process-scorer-v1,9,15,1.0000,0.3510,0,0,87.6802,1.0000,0,0,0.0000
primary,primary-F08-S1-layered-seed-0005-attempt-1,F08,source-conflict,0005,S1-layered,completed,94.8786,26.0000,25.0000,30.0000,13.8786,,0,0,,deterministic-process-scorer-v1,9,23,1.0000,0.2961,0,0,94.8786,1.0000,0,0,0.0000
primary,primary-F09-S0-current-seed-0001-attempt-1,F09,source-conflict,0001,S0-current,completed,92.7500,30.0000,23.7500,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,11,31,1.0000,0.2174,0,0,92.7500,1.0000,0,1,0.0000
primary,primary-F09-S0-current-seed-0002-attempt-1,F09,source-conflict,0002,S0-current,completed,92.3192,30.0000,23.7500,24.0000,14.5692,,0,0,,deterministic-process-scorer-v1,11,27,1.0000,0.2615,0,0,92.3192,1.0000,0,0,0.0000
